[1],1,TACKLE,3,GROWL,7,LEECHSEED,9,VINEWHIP,13,POISONPOWDER,13,SLEEPPOWDER,15,TAKEDOWN,19,RAZORLEAF,21,SWEETSCENT,25,GROWTH,27,DOUBLEEDGE,31,WORRYSEED,33,SYNTHESIS,37,SEEDBOMB,,,,,,,,,,,,,,,,,,,,,,
,EggMoves=AMNESIA,CHARM,CURSE,ENDURE,GIGADRAIN,GRASSWHISTLE,GRASSYTERRAIN,INGRAIN,LEAFSTORM,MAGICALLEAF,NATUREPOWER,PETALDANCE,POWERWHIP,SKULLBASH,SLUDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2],1,TACKLE,1,GROWL,1,LEECHSEED,3,GROWL,7,LEECHSEED,9,VINEWHIP,13,POISONPOWDER,13,SLEEPPOWDER,15,TAKEDOWN,20,RAZORLEAF,23,SWEETSCENT,28,GROWTH,31,DOUBLEEDGE,36,WORRYSEED,39,SYNTHESIS,44,SOLARBEAM,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3],1,TACKLE,1,GROWL,1,LEECHSEED,1,VINEWHIP,3,GROWL,7,LEECHSEED,9,VINEWHIP,13,POISONPOWDER,13,SLEEPPOWDER,15,TAKEDOWN,20,RAZORLEAF,23,SWEETSCENT,28,GROWTH,31,DOUBLEEDGE,32,PETALDANCE,39,WORRYSEED,45,SYNTHESIS,50,PETALBLIZZARD,53,SOLARBEAM,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[4],1,SCRATCH,1,GROWL,7,EMBER,10,SMOKESCREEN,16,DRAGONRAGE,19,SCARYFACE,25,FIREFANG,28,FLAMEBURST,34,SLASH,37,FLAMETHROWER,43,FIRESPIN,46,INFERNO,,,,,,,,,,,,,,,,,,,,,,,,,,
,EggMoves=AIRCUTTER,ANCIENTPOWER,BEATUP,BELLYDRUM,BITE,CRUNCH,DRAGONDANCE,DRAGONPULSE,DRAGONRUSH,FLAREBLITZ,FOCUSPUNCH,METALCLAW,OUTRAGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[5],1,SCRATCH,1,GROWL,1,EMBER,7,EMBER,10,SMOKESCREEN,17,DRAGONRAGE,21,SCARYFACE,28,FIREFANG,32,FLAMEBURST,39,SLASH,43,FLAMETHROWER,50,FIRESPIN,54,INFERNO,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[6],1,FLAREBLITZ,1,HEATWAVE,1,DRAGONCLAW,1,SHADOWCLAW,1,AIRSLASH,1,SCRATCH,1,GROWL,1,EMBER,1,SMOKESCREEN,7,EMBER,10,SMOKESCREEN,17,DRAGONRAGE,21,SCARYFACE,28,FIREFANG,32,FLAMEBURST,36,WINGATTACK,41,SLASH,47,FLAMETHROWER,56,FIRESPIN,62,INFERNO,71,HEATWAVE,77,FLAREBLITZ,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[7],1,TACKLE,4,TAILWHIP,7,WATERGUN,10,WITHDRAW,13,BUBBLE,16,BITE,19,RAPIDSPIN,22,PROTECT,25,WATERPULSE,28,AQUATAIL,31,SKULLBASH,34,IRONDEFENSE,37,RAINDANCE,40,HYDROPUMP,,,,,,,,,,,,,,,,,,,,,,
,EggMoves=AQUAJET,AQUARING,AURASPHERE,BRINE,DRAGONPULSE,FAKEOUT,FLAIL,FORESIGHT,HAZE,MIRRORCOAT,MIST,MUDDYWATER,MUDSPORT,REFRESH,WATERSPOUT,YAWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[8],1,TACKLE,1,TAILWHIP,1,WATERGUN,4,TAILWHIP,7,WATERGUN,10,WITHDRAW,13,BUBBLE,16,BITE,20,RAPIDSPIN,24,PROTECT,28,WATERPULSE,32,AQUATAIL,36,SKULLBASH,40,IRONDEFENSE,44,RAINDANCE,48,HYDROPUMP,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[9],1,FLASHCANNON,1,TACKLE,1,TAILWHIP,1,WATERGUN,1,WITHDRAW,4,TAILWHIP,7,WATERGUN,10,WITHDRAW,13,BUBBLE,16,BITE,20,RAPIDSPIN,24,PROTECT,28,WATERPULSE,32,AQUATAIL,39,SKULLBASH,46,IRONDEFENSE,53,RAINDANCE,60,HYDROPUMP,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[10],1,TACKLE,1,STRINGSHOT,15,BUGBITE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[11],1,HARDEN,7,HARDEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[12],1,CONFUSION,10,CONFUSION,12,POISONPOWDER,12,STUNSPORE,12,SLEEPPOWDER,16,GUST,18,SUPERSONIC,22,WHIRLWIND,24,PSYBEAM,28,SILVERWIND,30,TAILWIND,34,RAGEPOWDER,36,SAFEGUARD,40,CAPTIVATE,42,BUGBUZZ,46,QUIVERDANCE,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[13],1,POISONSTING,1,STRINGSHOT,15,BUGBITE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
